"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.036,0.072,0.1895,0.046,0.085,0.2135,0.0635,0.109,0.2505
0.0355,0.0835,0.3815,0.0475,0.1105,0.4525,0.0795,0.1755,0.5715
0.0785,0.184,0.6745,0.1145,0.246,0.7875,0.194,0.391,0.917
0.1785,0.35,0.862,0.2425,0.456,0.937,0.378,0.6635,0.99
0.344,0.5745,0.947,0.451,0.703,0.991,0.646,0.887,1
0.499,0.739,0.98,0.6225,0.85,0.997,0.8145,0.9725,1
0.6705,0.8585,0.9915,0.7745,0.933,0.9995,0.925,0.9915,1
0.813,0.92,0.9945,0.8875,0.9695,0.9995,0.971,0.9975,1
