"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.273,0.339,0.503,0.3165,0.3895,0.5655,0.3975,0.4845,0.6675
0.374,0.442,0.5835,0.443,0.511,0.6615,0.5565,0.622,0.783
0.508,0.55,0.656,0.5765,0.6255,0.739,0.721,0.7735,0.8705
0.629,0.6615,0.7215,0.702,0.733,0.806,0.8265,0.8555,0.911
0.7085,0.7285,0.7785,0.786,0.806,0.8565,0.897,0.907,0.937
0.738,0.7465,0.7885,0.8115,0.8255,0.8585,0.914,0.92,0.9465
0.768,0.779,0.82,0.8555,0.865,0.894,0.942,0.9465,0.961
0.828,0.8325,0.851,0.8975,0.9,0.911,0.9555,0.96,0.9685
