"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.3985,0.5315,0.7025,0.4625,0.5915,0.7595,0.564,0.687,0.845
0.503,0.6055,0.7455,0.5735,0.6875,0.813,0.7015,0.7905,0.896
0.6065,0.671,0.775,0.696,0.759,0.8505,0.826,0.868,0.931
0.6845,0.7225,0.8035,0.7725,0.811,0.871,0.888,0.913,0.9525
0.754,0.7735,0.828,0.833,0.8515,0.8865,0.926,0.94,0.962
0.77,0.7865,0.829,0.8515,0.864,0.8955,0.9355,0.943,0.962
0.792,0.8035,0.829,0.8705,0.877,0.902,0.953,0.9575,0.9725
0.844,0.849,0.867,0.902,0.9055,0.9215,0.968,0.9685,0.975
