"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.2405,0.288,0.359,0.2965,0.336,0.401,0.441,0.4655,0.506
0.3225,0.4355,0.7185,0.393,0.492,0.764,0.518,0.604,0.82
0.492,0.689,0.957,0.5675,0.77,0.977,0.7235,0.8785,0.994
0.6685,0.8735,0.9985,0.751,0.927,1,0.8835,0.9815,1
0.8105,0.9615,0.9995,0.886,0.987,1,0.9625,0.999,1
0.8625,0.976,0.9995,0.9195,0.9915,0.9995,0.9765,0.9995,1
0.873,0.9715,0.999,0.922,0.9885,1,0.979,0.9995,1
0.8375,0.9435,0.989,0.896,0.9735,0.9975,0.964,0.9935,0.9995
