"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.5505,0.6405,0.7525,0.6205,0.7145,0.803,0.7385,0.809,0.878
0.6465,0.6915,0.757,0.7175,0.753,0.823,0.817,0.852,0.8925
0.7335,0.75,0.7965,0.8085,0.8275,0.863,0.902,0.916,0.9425
0.803,0.8075,0.826,0.867,0.871,0.8975,0.9425,0.947,0.958
0.8165,0.8195,0.841,0.89,0.8925,0.907,0.9575,0.959,0.967
0.847,0.849,0.8635,0.9105,0.912,0.922,0.9725,0.9735,0.9775
0.844,0.847,0.8555,0.916,0.916,0.9245,0.9775,0.9785,0.9795
0.8595,0.86,0.868,0.914,0.9145,0.9175,0.976,0.976,0.979
