"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.5065,0.571,0.6675,0.576,0.6235,0.7255,0.674,0.7225,0.8105
0.607,0.643,0.714,0.682,0.7145,0.783,0.787,0.821,0.867
0.713,0.7305,0.7785,0.797,0.814,0.851,0.8935,0.901,0.9255
0.7855,0.7925,0.8255,0.856,0.8625,0.8855,0.937,0.941,0.952
0.8125,0.8145,0.839,0.884,0.8865,0.901,0.9565,0.959,0.963
0.838,0.838,0.8565,0.908,0.909,0.9215,0.9705,0.9715,0.975
0.8445,0.846,0.856,0.9165,0.9165,0.9215,0.9765,0.9765,0.979
0.8575,0.858,0.866,0.9095,0.9095,0.9165,0.976,0.976,0.978
