"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0.108,0.1655,0.3665,0.131,0.193,0.4275,0.1705,0.2655,0.517
0.148,0.2345,0.5045,0.1855,0.2845,0.597,0.2565,0.384,0.7345
0.3065,0.425,0.707,0.376,0.526,0.8065,0.521,0.687,0.9255
0.451,0.573,0.8,0.5475,0.682,0.8935,0.7205,0.837,0.9675
0.634,0.7275,0.875,0.73,0.823,0.95,0.874,0.9425,0.994
0.7125,0.7915,0.8935,0.804,0.865,0.953,0.913,0.957,0.9945
0.799,0.8485,0.9315,0.8795,0.9235,0.977,0.967,0.984,0.9975
0.8505,0.883,0.941,0.918,0.943,0.975,0.9795,0.987,0.9975
